case_id,seq,label,date,name,code,tag_main,tag_sub,tag_full,g_ref,source,evidence
CASE-0014,14,성공,2022-04-05,이브이첨단소재,131400,차트 방향 전환,거래대금 유입,차트 방향 전환/거래대금 유입,G4921,"스윙 4권 04_4권 p.036 / G4921 (저자 전사 정보 박스, KRX 대조 대기)","O 2,065(+4.03%)·H 2,140(+7.81%)·L 1,880(-5.29%)·C 1,895(-4.53%)·거래량 12,302,809(+25.69%)·거래대금 24,591백만(245.91억, +25.82%). 재료=프롤로지움 이륜차용 교체형 전고체 배터리 프로토타입(일정 없는 모멘텀 재료). ★기준봉(2022/03/15 출현) 후 처음 대량 수급 유입일 = 차트 방향 전환(하락→상승) 신호. 저자 제시 목적=방향 전환 매매 기회 사례=성공(당일 종가 -4.53%는 근거 수치에 병기). ★스윙 4권 첫 등록 CASE(사용자 ② 규칙: 4권 사례 즉시 등록)"
CASE-0015,15,성공,2022-06-24,신화인터텍,056700,거래대금 유입,방향 전환,거래대금 유입/방향 전환,G4922,"스윙 4권 04_4권 p.038 / G4922 (저자 전사 정보 박스, KRX 대조 대기)","06/24(금) O 3,120 H 3,410 L 3,085 C 3,285(+4.29%)·거래량 12,767,230·거래대금 41,776백만 / 2차 유입 06/29(수) O 3,945 H 4,210 L 3,860 C 3,980(0.00%)·거래대금 45,697백만. 재료=美 빅테크 스마트 글라스 개발+내년 양산 대규모 투자(모멘텀). ★상한가 진입 후 2번 거래대금 유입=차트 방향 전환 매매 기회(저자 성공 사례). ※기존 3권 기준봉 시가 바닥 후보였으나 4권 정보 박스로 코드·OHLC 완비되어 확정. ※07월 유입 다음 날 하락 사례도 존재(부칙 P-2 양면 검증 대상)"
CASE-0016,16,성공,2022-09-14,푸른저축은행,007330,돌파 매매 흐름⑤,갭상승 돌파(아랫꼬리),돌파 매매 흐름⑤/갭상승 돌파(아랫꼬리),G4978,"스윙 5권 05_5권 p.046 / G4978 (저자 전사 정보 박스, KRX 대조 대기)","09/14(수) O 14,450(+18.93%)·H 15,200(+25.10%)·L 13,300(+9.47%)·C 13,950(+14.81%)·거래량 4,204,291(+1,798.15%)·거래대금 60,843백만(608억, +2,134.09%)·LC 45.31%·HC -34.51%. 전고점선 13,749. ★기준봉 종가 부근 횡보 고점을 갭상승으로 한 번에 돌파→차익실현으로 아랫꼬리 형성(저가 13,300이 전고점선 부근). 저자 제시=갭상승 돌파 캔들 아랫꼬리 공략 매수 사례=성공"
CASE-0017,17,성공,2022-08-31,대명에너지,389260,돌파 매매 흐름⑤,갭상승 돌파(아랫꼬리),돌파 매매 흐름⑤/갭상승 돌파(아랫꼬리),G4978,"스윙 5권 05_5권 p.047 / G4978 (저자 전사 정보 박스, KRX 대조 대기)","08/31(수) O 31,000(+8.39%)·H 33,250(+16.26%)·L 28,700(+0.35%)·C 29,350(+2.62%)·거래량 4,481,755(+390.51%)·거래대금 138,973백만(1,390억, +428.56%)·LC 134.80%·HC -11.73%. 전고점선 29,754. ★푸른저축은행과 동일 패턴=기준봉 후 고점 갭상승 돌파→아랫꼬리(저가 28,700이 전고점선 부근). 저자 제시=아랫꼬리 공략 매수 사례=성공"
CASE-0018,18,성공,2023-03-17,라온텍,418420,낙폭과대(데이트레이딩),상한가풀림(유형1),낙폭과대(데이트레이딩)/상한가풀림(유형1),G3479;G3497;G3499;G3500,5-2권 부속 S12 p.4·16·17·18 / G3479·G3497·G3499·G3500 + KRX 실측,"발생일 03/17 실측 O 5,680 / H **7,250** / L 5,580 / C 6,840 (**+22.58%**), 거래대금 169,263백만. 장중 고점 7,250(노트 분봉 최고 7,250 일치)→종가 부근 급락 종가배팅 매수, 03/20(월) 시초 분할 매도 +3~4%. 교차확인: 03/20 H **7,610**·거래대금 **141,360백만**(노트 전사값 정확 일치), 03/10 L **4,855**(노트 일치). 신규 상장주(2023-02 상장)"
CASE-0019,19,성공,2023-07-14,비에이치아이,083650,낙폭과대(데이트레이딩),전날상한가+시초급락(유형4-1),낙폭과대(데이트레이딩)/전날상한가+시초급락(유형4-1),G3484;G3514,5-2권 부속 S12 p.7·27 / G3484·G3514 + KRX 실측,"전날 07/13 상한가 마감 O 8,640 / H=C **11,160** (**+29.92%**). 발생일 07/14 실측 O 10,800 / H **11,670** / L 9,860 / C 11,050 (-0.99%): 시초 하락(장중 고점 11,670=노트 분봉 최고 일치)→저점 매수→반등 분할 매도. ※노트 분봉 최저 9,150은 일봉 저가 9,860과 불일치(분봉 판독오차, 근거=KRX 우선). S11 G3468~G3470 동일 종목"
CASE-0020,20,성공,2023-11-17,휴림에이텍,078590,낙폭과대(데이트레이딩),장막판급락(유형3),낙폭과대(데이트레이딩)/장막판급락(유형3),G3509;G3511,5-2권 부속 S12 p.24·25 / G3509·G3511 + KRX 실측,2거래일 전 11/15 상한가 마감 (**+29.95%**)·11/16 **+16.70%** 수급 유입 상승 → 발생일 11/17 실측 O 555 / H **694** / L 503 / C 564 (+2.17%): 장중 고점 694(노트 분봉 최고 694 일치)→종가 부근 급락. 동시호가 약 -2.25% 매수→익일 +5% 수익권 매도. ※'이베스트 거래원 제외' 조건 언급 사례
CASE-0021,21,성공,2022-08-03,아이스크림에듀,289010,낙폭과대(데이트레이딩),종가부근급락(유형4-2),낙폭과대(데이트레이딩)/종가부근급락(유형4-2),G3485;G3517,5-2권 부속 S12 p.8·29 / G3485·G3517 + KRX 실측,"전일 08/02 종가관리 급등 O 5,170 / H **6,430** / L 4,995 / C 5,800 (**+10.06%**)(장중 고점 6,430=노트 분봉 최고 일치). 발생일 08/03 실측 O 5,450 / H 6,240 / L 5,230 / C 5,470 (-5.69%): 시초 매수→장중 슈팅(H 6,240, 시초 대비 +14.5%) 매도. ※연도 2022 개별 실측(3월=2023/4월=2024 규칙 무관)"
CASE-0022,22,성공,2022-11-09,WI,073570,적정거래대금 데이트레이딩,눌림목·저점공략,적정거래대금 데이트레이딩/눌림목·저점공략,G3529;G3594,5-2권 부속 S14 p.4·47 / G3529·G3594 + KRX 실측,"발생일 11/09 실측 O 3,020 / H **3,495** / L **2,975** / C 3,335 (**+10.61%**): 분봉 최고 3,495·최저 2,975 노트 정확 일치. 1차 상승 급등→눌림목 분할 매수→상승 시 분할 매도. 차트매매 08 G533 동일 종목"
CASE-0023,23,성공,2023-08-02,코난테크놀로지,402030,적정거래대금 데이트레이딩,급등구간,적정거래대금 데이트레이딩/급등구간,G3531;G3546,5-2권 부속 S14 p.5·15 / G3531·G3546 + KRX 실측,"08/01 상한가 마감(+29.93%)·적정거래대금 183,264백만(기준선 183,301 근접). 발생일 08/02 실측 O 86,800 / H **96,700** / L 86,500 / C 90,600 (+1.8%): 분봉 최고 96,700 노트 일치. 분봉 최저 61,900=07/31 저가 일치"
CASE-0024,24,성공,2023-03-08,경동인베스트,012320,적정거래대금 데이트레이딩,시초급등,적정거래대금 데이트레이딩/시초급등,G3532;G3553,5-2권 부속 S14 p.6·20 / G3532·G3553 + KRX 실측,"발생일 03/08 실측 O 98,200 / H **111,600** / L 97,500 / C 111,600 (**+29.92%, 상한가 마감**): 분봉 최고 111,600 노트 일치. 시초 급등 매수. 03/07 저가 81,100(분봉 최저 85,700 근접)"
CASE-0025,25,성공,2023-03-21,셀바스헬스케어,208370,적정거래대금 데이트레이딩,VI직전·상한가진입,적정거래대금 데이트레이딩/VI직전·상한가진입,G3534,5-2권 부속 S14 p.7 / G3534 + KRX 실측,"발생일 03/21 실측 O 8,320 / H **10,980** / L **7,960** / C 10,980 (**+29.94%, 상한가 마감**): 분봉 최고 10,980·최저 7,960 노트 정확 일치. VI 직전 단타 진입→상한가 추가 매수"
CASE-0026,26,성공,2023-10-20,양지사,030960,적정거래대금 데이트레이딩,눌림목,적정거래대금 데이트레이딩/눌림목,G3535,5-2권 부속 S14 p.8 / G3535 + KRX 실측,"발생일 10/20 실측 O 17,450 / H **19,150** / L 16,080 / C 16,500 (-1.43%): 분봉 최고 19,150 노트 일치. 이평선 지지 눌림목 매수→반등 매도"
CASE-0027,27,성공,2023-10-18,휴니드,005870,적정거래대금 데이트레이딩,눌림목·고점돌파,적정거래대금 데이트레이딩/눌림목·고점돌파,G3537;G3589,5-2권 부속 S14 p.9·44 / G3537·G3589 + KRX 실측,"발생일 10/18 실측 O 7,740 / H **9,720** / L 7,370 / C 9,270 (**+21.97%**): 분봉 최고 9,720·최저 7,370(노트 7,340 근접) 일치. 방산 테마. 오전 1차 상승→당일 눌림목 매수 2회→고점 돌파 지속 상승"
CASE-0028,28,성공,2022-11-08,대모,317850,적정거래대금 데이트레이딩,고점돌파(익일),적정거래대금 데이트레이딩/고점돌파(익일),G3586,5-2권 부속 S14 p.42 / G3586 + KRX 실측,"발생일 11/08 실측 O 15,100 / H **17,100** / L 15,050 / C 15,750 (+3.28%): 분봉 최고 17,100 노트 일치. 1차 상승 후 고점 횡보→익일 저점 매수→당일 고점 돌파 급등"
CASE-0029,29,성공,2023-11-29,코어라인소프트,384470,적정거래대금 데이트레이딩,고점돌파(익일),적정거래대금 데이트레이딩/고점돌파(익일),G3588,5-2권 부속 S14 p.43 / G3588 + KRX 실측,"11/28 +18.92% 적정거래대금 발생(97,904백만). 발생일 11/29 실측 O 22,500 / H **25,900** / L 22,350 / C 23,350 (+3.78%): 분봉 최고 25,900 노트 일치. 저점 조정→익일 저점 매수→고점 돌파 급등"
CASE-0030,30,성공,2024-02-23,에브리봇,270660,적정거래대금 데이트레이딩,고점돌파(당일),적정거래대금 데이트레이딩/고점돌파(당일),G3591,5-2권 부속 S14 p.45 / G3591 + KRX 실측,"발생일 02/23 실측 O 47,000 / H **57,500** / L **46,500** / C 55,500 (**+15.63%**): 분봉 최고 57,500·최저 46,500 노트 정확 일치. 로봇청소기 테마. 오전 1차 상승→고점 횡보→당일 고점 돌파 급등. ※노트 기재 02/22는 실측 02/23으로 정정(양 수치 정확 일치로 확정)"
CASE-0031,31,성공,2023-02-24,모아데이타,288980,적정거래대금 데이트레이딩,눌림목·분할,적정거래대금 데이트레이딩/눌림목·분할,G3592,5-2권 부속 S14 p.46 / G3592 + KRX 실측,"발생일 02/24 실측 O 4,400 / H **4,875** / L 4,350 / C 4,430 (+4.48%, 적정거래대금 230,128백만): 분봉 최고 4,875 노트 일치. 전일 02/23 눌림목(최저 4,120)부터 분할 매수→상승 시 분할 매도"
CASE-0032,32,성공,2023-02-24,코스모화학,005420,낙폭과대(데이트레이딩),시초급락(유형2),낙폭과대(데이트레이딩)/시초급락(유형2),G3481;G3503;G3505;G3506,5-2권 부속 S12 p.5·20·21·22 / G3481·G3503·G3505·G3506 + KRX 실측(원본재독),"발생일 02/24 실측 O 38,600 / H 39,000 / L 35,800 / C 37,000 (-2.63%): 시초 38,600→저점 35,800(시초 대비 **-7.25%**) 낙폭과대 매수→반등(1차 물량). 교차확인: 02/20 H **39,350**(노트 분봉 최고 일치)·최저 20,250(’22/12/07)·거래대금 304,654백만(02/28). 2차전지 테마 주도 종목. ※원본재독으로 다일분봉 02/17~02/24 중 시초 -7% 유일일 확정"
CASE-0033,33,실패,2024-02-21,세보엠이씨,011560,적정거래대금 데이트레이딩,이베스트 거래원 회피,적정거래대금 데이트레이딩/이베스트 거래원 회피,G3559,5-2권 부속 S14 p.24 / G3559 + KRX 실측(원본재독),"발생일 02/21 실측 O 8,660 / H **9,500** / L 8,530 / C 8,560 (-1.15%): 장중 고점 9,500(11:20, 노트 일치) 후 급락 마감. 이베스트 매도상위(697,918)·매수상위(853,672) 양쪽 상위→고점 후 하락(당일 매수 회피 근거). 250일최고 10,570(’23/09/11)·최저 7,240(’23/02/27). ※원본재독(250일 고저일 기준)으로 발생일 2024-02-21 확정"
CASE-0034,34,성공,2023-08-01,덕성,004830,적정거래대금 데이트레이딩,횡보 분할매수(S11 실전 사례⑤),적정거래대금 데이트레이딩/횡보 분할매수(S11 실전 사례⑤),G3182;G3464;G3465;G3466;G3467,5-2권 부속 S11 p.12·209·210·211 / G3182·G3464·G3465·G3466·G3467 + KRX 실측,"발생일 08/01 실측 O 4,550 / H **5,740** / L 4,455 / C 5,740 (**+29.86%, 상한가 마감**): 분봉 최고 5,740(14:55)=일봉 고가 일치. 적정거래대금 320억 근거=07/31 장중 상한가(H4,880 +30%)→종가 **+17.71%**(C4,420)·거래대금 **31,975백만(≈320억)** 유의미 수급(G3182). 07/26~08/01 횡보 구간 분할 매수→08/01 급등 분할 매도. 최저 3,375(07/26 노트). 필름/2차전지 테마. ※저자 ""기간 대비 좋은 수익"". ※S14 판정보류 덕성(9,330·02/13)과 별개 사례"
CASE-0035,35,성공,2023-06-16,인디에프,014990,적정거래대금 데이트레이딩,기준봉 조정 후 진입,적정거래대금 데이트레이딩/기준봉 조정 후 진입,G3248;G3249;G3473;G3474,5-2권 부속 S11 p.65·66·215·216 / G3248·G3249·G3473·G3474 + KRX 실측,"06-13 상한가 마감(H1,326 +30.0%) 후 조정. 발생일 06-16 실측 O1,146 H **1,430** L1,143 C1,301(+12.35%): 분봉 최고 1,430(12:15) 일치. 하락 조정→방향 상방 전환 시 스윙 매수→급등 전량 매도. 적정거래대금+상한가 2회 종목"
CASE-0036,36,성공,2023-07-31,지니너스,389030,적정거래대금 데이트레이딩,종가 예측 분할매수,적정거래대금 데이트레이딩/종가 예측 분할매수,G3255;G3260;G3261;G3264,5-2권 부속 S11 p.70·73·74·76 / G3255·G3260·G3261·G3264 + KRX 실측,"발생일 07-31 실측 O5,450 H **5,830** L5,100 C **5,290**(+2.12%), 거래대금 976억: 분봉 최고 5,830(09:33)·종가 5,290 일치. 오전 9:36 약 550억→종가 976억(예측 공식 오전×2 검증). 급등~종가 분할 매수→다음날 시초 추가 매수→본격 상승 분할 매도. 적정거래대금 400~500억"
CASE-0037,37,성공,2023-08-01,서남,294630,수급유입 2차 상승 파동 데이트레이딩(초전도체),,수급유입 2차 상승 파동 데이트레이딩(초전도체),G3306;G3317;G3318,5-2권 부속 S11 p.104·111·112 / G3306·G3317·G3318 + KRX 실측,"1번 흐름 03-27 상한가(+29.85%). 발생일 08-01 실측 O5,630 H6,500 L **4,690** C **6,500**(**+30.0%, 상한가 마감**), 거래대금 2,098억: 시초 하락(L4,690)→점심 후 큰 수급 급등(2차 상승)→매수 수익(변동성 커 단기 마무리, 이후 상한가라 아쉬움). 초전도 선재 테마"
CASE-0038,38,성공,2023-08-01,인벤티지랩,389470,수급유입 다차 상승,조정 분할매수(신규상장),수급유입 다차 상승/조정 분할매수(신규상장),G3338;G3341;G3342;G3347;G3348,5-2권 부속 S11 p.125·127·128·131·132 / G3338·G3341·G3342·G3347·G3348 + KRX 실측,"발생일 08-01 실측 O17,490 H **19,900** L16,920 C19,900(**+29.98%, 상한가 마감**): 분봉 상한가 19,900(09:10) 일치. 마지막 상한가 후 분할 매수→5거래일 조정 분할 매수(평단 관리)→재상승 상한가 부근 매도. 신규상장(치매·비만치료제 호재), 적정거래대금 400억"
CASE-0039,39,성공,2023-08-02,LS네트웍스,000680,관심종목 반복매매,시초 급등(호가먹통 회피),관심종목 반복매매/시초 급등(호가먹통 회피),G3450;G3452;G3453,5-2권 부속 S11 p.200·201·202 / G3450·G3452·G3453 + KRX 실측,"발생일 08-02 실측 O5,930 H **8,090** L5,930 C7,500(**+19.05%**), 거래대금 1,172억: 시초부터 가파른 상승. 연일 상한가 종목 시초 매수→당일 증시 호가창·체결 오류 발생→호가 정상화 시 수익권 전량 정리(리스크 회피). 흐름 지켜본 종목 반복 매매"
CASE-0040,40,성공,2023-07-31,와이랩,432430,수급유입 후 조정 매수,신규상장,수급유입 후 조정 매수/신규상장,G3459;G3461;G3462,5-2권 부속 S11 p.206·207·208 / G3459·G3461·G3462 + KRX 실측,"발생일 07-31 실측 O8,090 H **9,990** L8,000 C9,130(+17.96%), 거래대금 659억: 분봉 최고 9,990(10:30) 일치. 장중 상한가급 급등+큰 거래대금 종목, 조정 후 종가 부근 매수→다음날 갭상승 분할 정리(수익 소액). 신규상장주"
CASE-0041,41,실패,2023-06-14,대봉엘에스,078140,적정거래대금 기준봉 매수 실패(손절),,적정거래대금 기준봉 매수 실패(손절),G3388;G3390;G3392,5-2권 부속 S11 p.157·160·161 / G3388·G3390·G3392 + KRX 실측,"발생일 06-14 실측 O8,580 H10,950 L8,430 C10,020(+18.86%), 거래대금 498억: 큰 거래대금+급등(기준봉) 매수했으나 이후 하락→손절 대응 사례(큰 거래대금+급등에도 하락 가능 실증). ★라벨=실패: 저자 제시 목적=손절·리스크 관리 사례. 손절 후 재모니터링 재매수 권고"
CASE-0042,42,성공,2023-10-24,희림,037440,종가관리 데이트레이딩,재상승 추격 매수,종가관리 데이트레이딩/재상승 추격 매수,G3629;G3644;G3648;G3650,5-3권 대주제19 p.29·39·42·43 / G3629·G3644·G3648·G3650 + KRX 실측,"10-19 종가관리 장막판 급등(H9,640 C9,420 +15.16%, 사우디 국빈방문 호재)→조정. 발생일 10-24 실측 O7,920 H **10,420** L7,920 C10,420(**+29.93%, 상한가 마감**), 거래대금 2,121억: 큰 수급 재유입 재상승 구간 추격 매수→과거 종가관리 가격 부근 매도. 네옴시티 관련주"
CASE-0043,43,성공,2023-12-19,코어라인소프트,384470,종가관리 데이트레이딩,3거래일 후 오전수급 매수,종가관리 데이트레이딩/3거래일 후 오전수급 매수,G3638;G3641;G3642,5-3권 대주제19 p.35·37·38 / G3638·G3641·G3642 + KRX 실측,"12-14 종가관리 상한가(H28,400 C28,400 +29.98%, 루닛 M&A 기대). 발생일 12-19(3거래일째) 실측 O26,650 H **30,450** L26,400 C29,850(+13.5%): 오전 10시 수급 유입 매수→과거 상한가(28,400) 돌파 시 분할 매도. ※CASE-0029(11-29 적정거래대금)와 **별개 사례**(종가관리 관점)"
CASE-0044,44,성공,2024-02-14,덕성,004830,적정거래대금 데이트레이딩,눌림목→종가 급등,적정거래대금 데이트레이딩/눌림목→종가 급등,G3538,5-2권 부속 S14 p.10 / G3538 + 5-3권 예시집 + KRX 실측(원본재독),"발생일 02-14 실측 O7,200 H **9,330** L **7,080** C9,330(**+29.94%, 상한가 마감**): 분봉 최저 7,080(09:01)·최고 9,330(15:17) 정확 일치. 오전 눌림목(7,080)~횡보 매수→종가 부근 급등(상한가 9,330) 매도. 적정거래대금+테마 분위기. ※S14 판정보류(노트 ""02/13""은 실측 **02/14**) 해소. S11 덕성 CASE-0034(5,740·2023-08-01)와 별개"
CASE-0045,45,성공,2024-02-13,한미반도체,042700,데이트레이딩~스윙,신고가 돌파 후 조정 매수,데이트레이딩~스윙/신고가 돌파 후 조정 매수,G3702;G3704,5-3권 예시집1 INDEX01 / G3702·G3704 + KRX 실측,"발생일 02-13 실측 O82,200 H84,000 L77,700 C81,000(+3.18%), 거래대금 6,628억. HBM 호재·엔비디아 신고가·반도체 주도. 신고가 돌파 상한가 종목이 하락할 때부터 매수→데이트~스윙 연결. 재료 3종(자사주 소각·HBM 고객사 확대·SK하이닉스 TSMC 동맹)"
CASE-0046,46,성공,2024-02-08,이수스페셜티케미컬,457190,데이트레이딩~스윙,테마 대장 매수,데이트레이딩~스윙/테마 대장 매수,G3707,5-3권 예시집1 INDEX02 / G3707 + KRX 실측,"발생일 02-08 실측 O249,000 H255,500 L224,500 C228,000(-9.88%), 거래대금 1,246억. 전고체 배터리 테마 대장(코스닥 상승장). 데이트레이딩 매수→단기 미상승/과열로 스윙 연결. ※당일 -9.88%(매도 후 추가 상승, TMI)"
CASE-0047,47,성공,2022-08-03,우리산업홀딩스,072470,데이트레이딩,윗꼬리 종목 눌림목·바닥 재확인,데이트레이딩/윗꼬리 종목 눌림목·바닥 재확인,G3717;G3719,5-3권 예시집1 INDEX04 / G3717·G3719 + KRX 실측,"발생일 08-03 실측 O5,160 H6,530 L5,100 C5,870(+13.1%), 거래대금 877억. 리비안 성장 전망 재료. 평소 윗꼬리 자주 출현 종목→13시 큰 수급부터 눌림목 매수, 급락 후 바닥 재확인(파란 네모) 매수→수익"
CASE-0048,48,성공,2023-12-07,에이텀,355690,데이트레이딩 매매(5-3권 예시집1),,데이트레이딩 매매(5-3권 예시집1),,5-3권 예시집1 INDEX19 「2023-12-07 데이트레이딩 매매 사례(에이텀)」 + KRX 실측,"발생일 12-07 실측 O21,000 H26,500 L20,850 C24,450(+14.79%), 거래대금 947억"
CASE-0049,49,성공,2023-12-08,유니온,000910,데이트레이딩 매매(5-3권 예시집1),,데이트레이딩 매매(5-3권 예시집1),,5-3권 예시집1 INDEX20 「2023-12-08 데이트레이딩 매매 사례(유니온)」 + KRX 실측,"발생일 12-08 실측 O6,020 H6,570 L5,980 C6,100(+3.39%), 거래대금 429억"
CASE-0050,50,성공,2023-12-19,어보브반도체,102120,데이트레이딩 매매(5-3권 예시집1),상한가,데이트레이딩 매매(5-3권 예시집1)/상한가,,5-3권 예시집1 INDEX22 「2023-12-19 데이트레이딩 매매 사례(어보브반도체)」 + KRX 실측,"발생일 12-19 실측 O12,940 H14,630 L12,360 C14,630(**+29.93%, 상한가 마감**), 거래대금 3,546억"
CASE-0051,51,성공,2023-12-20,스맥,099440,데이트레이딩 매매(5-3권 예시집1),,데이트레이딩 매매(5-3권 예시집1),,5-3권 예시집1 INDEX23 「2023-12-20 데이트레이딩 매매 사례(스맥)」 + KRX 실측,"발생일 12-20 실측 O4,400 H4,700 L4,320 C4,630(+6.93%), 거래대금 318억"
CASE-0052,52,성공,2023-12-20,한익스프레스,014130,데이트레이딩 매매(5-3권 예시집1),,데이트레이딩 매매(5-3권 예시집1),,5-3권 예시집1 INDEX24 「2023-12-20 데이트레이딩 매매 사례(한익스프레스)」 + KRX 실측,"발생일 12-20 실측 O7,480 H8,820 L7,070 C8,510(+25.33%), 거래대금 1,476억"
CASE-0053,53,성공,2024-01-02,캡스톤파트너스,452300,데이트레이딩 매매(5-3권 예시집2),,데이트레이딩 매매(5-3권 예시집2),,5-3권 예시집2 「2024-01-02(캡스톤파트너스)」 + KRX 실측,"실측 O5,590 H5,950 L5,350 C5,540(+6.54%), 거래대금 1,014억"
